item_nbr,family,class,perishable,Price
121964,AUTOMOTIVE,6810,0,38.60401189
172995,AUTOMOTIVE,6824,0,56.2261732
270522,AUTOMOTIVE,6806,0,69.52906018
312317,AUTOMOTIVE,6810,0,95.41168061
461432,AUTOMOTIVE,6810,0,79.51285176
511394,AUTOMOTIVE,6810,0,50.48994749
1009512,AUTOMOTIVE,6810,0,30.94320131
1049595,AUTOMOTIVE,6824,0,16.85399681
1085148,AUTOMOTIVE,6806,0,35.04621488
1085150,AUTOMOTIVE,6806,0,61.60237574
1085486,AUTOMOTIVE,6810,0,43.93770658
1118683,AUTOMOTIVE,6806,0,39.14991327
1147731,AUTOMOTIVE,6806,0,54.47136026
1903428,AUTOMOTIVE,6808,0,81.80139185
1903432,AUTOMOTIVE,6808,0,81.01979036
1969477,AUTOMOTIVE,6848,0,63.86612883
1969485,AUTOMOTIVE,6848,0,73.1810639
1969863,AUTOMOTIVE,6848,0,75.89595534
1969899,AUTOMOTIVE,6848,0,17.81374236
1970094,AUTOMOTIVE,6848,0,91.27677613
1490588,BABY CARE,6022,0,11.22845939
617763,BEAUTY,4222,0,9.363190525
673496,BEAUTY,4214,0,17.62552262
716958,BEAUTY,4254,0,5.081038709
958514,BEAUTY,4252,0,16.33223912
1158705,BEAUTY,4252,0,3.024401331
1253708,BEAUTY,4250,0,2.220973997
1449487,BEAUTY,4254,0,18.40991277
1471956,BEAUTY,4252,0,5.403786514
1911336,BEAUTY,4210,0,5.909246667
1935388,BEAUTY,4255,0,15.21377567
1935465,BEAUTY,4212,0,7.500987239
1965358,BEAUTY,4228,0,19.44086971
2089789,BEAUTY,4254,0,11.60978984
2090125,BEAUTY,4214,0,8.802578505
2091318,BEAUTY,4252,0,18.17116314
2099230,BEAUTY,4252,0,4.017291444
2101795,BEAUTY,4222,0,17.97794648
2103250,BEAUTY,4254,0,13.97304686
2105347,BEAUTY,4254,0,14.02930125
119624,BEVERAGES,1122,0,3.967587743
165550,BEVERAGES,1124,0,3.510351946
165551,BEVERAGES,1124,0,9.893142598
165553,BEVERAGES,1124,0,1.369118253
174081,BEVERAGES,1136,0,2.977587925
219147,BEVERAGES,1122,0,10.51212238
219150,BEVERAGES,1122,0,9.990155416
219152,BEVERAGES,1122,0,4.73324262
257847,BEVERAGES,1120,0,2.032130397
257848,BEVERAGES,1120,0,7.753349076
265086,BEVERAGES,1124,0,1.328010206
269029,BEVERAGES,1122,0,4.835072505
269036,BEVERAGES,1122,0,2.142029813
308085,BEVERAGES,1124,0,4.889224196
315176,BEVERAGES,1124,0,9.829525681
315178,BEVERAGES,1124,0,9.182586022
315179,BEVERAGES,1124,0,8.055945691
315180,BEVERAGES,1124,0,9.961750989
319272,BEVERAGES,1122,0,3.819267265
364738,BEVERAGES,1124,0,10.98360233
368624,BEVERAGES,1122,0,8.376760257
368628,BEVERAGES,1122,0,5.437844705
414305,BEVERAGES,1124,0,10.60425803
418235,BEVERAGES,1122,0,6.182596626
418238,BEVERAGES,1122,0,4.161709935
464374,BEVERAGES,1124,0,1.002261744
468265,BEVERAGES,1122,0,2.645364062
514172,BEVERAGES,1124,0,4.690546186
518091,BEVERAGES,1122,0,8.731841007
518094,BEVERAGES,1122,0,1.185818979
556698,BEVERAGES,1120,0,5.880968613
563966,BEVERAGES,1124,0,9.304422377
568133,BEVERAGES,1122,0,5.089076249
671039,BEVERAGES,1122,0,3.379032556
679442,BEVERAGES,1120,0,10.05216884
686034,BEVERAGES,1122,0,9.180293599
686035,BEVERAGES,1122,0,6.196243593
716250,BEVERAGES,1120,0,1.682003617
730258,BEVERAGES,1122,0,10.4465875
730259,BEVERAGES,1122,0,1.106180715
759697,BEVERAGES,1124,0,8.438621153
759698,BEVERAGES,1124,0,9.066637023
770463,BEVERAGES,1120,0,4.626155306
804932,BEVERAGES,1122,0,5.088913851
805310,BEVERAGES,1122,0,4.116144001
805311,BEVERAGES,1122,0,4.877245555
807493,BEVERAGES,1124,0,7.67264462
807495,BEVERAGES,1124,0,8.21910823
819932,BEVERAGES,1122,0,5.046625421
819933,BEVERAGES,1122,0,6.956997672
819934,BEVERAGES,1122,0,10.56564069
821186,BEVERAGES,1124,0,4.96687211
839362,BEVERAGES,1124,0,5.389797976
839363,BEVERAGES,1124,0,3.297759221
839364,BEVERAGES,1124,0,3.908020319
839367,BEVERAGES,1124,0,2.877069225
847859,BEVERAGES,1122,0,10.28722337
871421,BEVERAGES,1124,0,7.39339295
884878,BEVERAGES,1124,0,10.00565536
886067,BEVERAGES,1120,0,7.899836525
903955,BEVERAGES,1122,0,2.097800697
906979,BEVERAGES,1120,0,5.891411016
906980,BEVERAGES,1120,0,3.27656469
906981,BEVERAGES,1120,0,1.585380804
907684,BEVERAGES,1120,0,8.031836439
907686,BEVERAGES,1120,0,9.093265745
913102,BEVERAGES,1124,0,10.35349567
915980,BEVERAGES,1122,0,10.92795359
938657,BEVERAGES,1136,0,10.55024722
938659,BEVERAGES,1136,0,8.839275059
940664,BEVERAGES,1124,0,7.888532161
940665,BEVERAGES,1124,0,8.057375952
951675,BEVERAGES,1124,0,10.94562914
958516,BEVERAGES,1122,0,5.648013228
958519,BEVERAGES,1122,0,5.550968778
968432,BEVERAGES,1122,0,5.367974633
996122,BEVERAGES,1124,0,1.194308052
1022053,BEVERAGES,1126,0,2.75542195
1037856,BEVERAGES,1120,0,1.060354773
1037857,BEVERAGES,1120,0,2.856176306
1044584,BEVERAGES,1124,0,5.77598696
1047674,BEVERAGES,1120,0,8.90290215
1047675,BEVERAGES,1120,0,10.44291953
1047679,BEVERAGES,1120,0,8.930239685
1047680,BEVERAGES,1120,0,2.590900381
1047681,BEVERAGES,1120,0,9.137706312
1047682,BEVERAGES,1120,0,9.782009227
1047685,BEVERAGES,1120,0,5.684656857
1047686,BEVERAGES,1120,0,9.813012089
1047690,BEVERAGES,1120,0,6.51967137
1047695,BEVERAGES,1122,0,3.995092916
1047696,BEVERAGES,1122,0,8.086682126
1047698,BEVERAGES,1122,0,3.055538858
1047699,BEVERAGES,1122,0,5.497203692
1047702,BEVERAGES,1122,0,8.425239536
1047703,BEVERAGES,1122,0,2.109170555
1047705,BEVERAGES,1122,0,10.33077222
1047707,BEVERAGES,1122,0,5.561242148
1047709,BEVERAGES,1122,0,8.134040596
1047717,BEVERAGES,1122,0,10.74311015
1047721,BEVERAGES,1122,0,4.769163547
1047733,BEVERAGES,1124,0,6.25645427
1047734,BEVERAGES,1124,0,8.526577489
1047735,BEVERAGES,1124,0,5.581325705
1047740,BEVERAGES,1124,0,1.266754236
1047743,BEVERAGES,1124,0,4.15658136
1047751,BEVERAGES,1126,0,6.82788027
1047752,BEVERAGES,1126,0,3.91163297
1047753,BEVERAGES,1126,0,8.36227801
1047755,BEVERAGES,1126,0,3.227161897
1047756,BEVERAGES,1126,0,4.902727703
1047757,BEVERAGES,1126,0,6.096302285
1047758,BEVERAGES,1126,0,5.222884706
1047772,BEVERAGES,1126,0,2.803808417
1047773,BEVERAGES,1126,0,10.08840861
1047774,BEVERAGES,1126,0,9.538999901
1047775,BEVERAGES,1126,0,2.175563233
1047786,BEVERAGES,1126,0,1.601084273
1047790,BEVERAGES,1138,0,3.292943156
1047793,BEVERAGES,1138,0,7.276605787
1050142,BEVERAGES,1124,0,10.69111422
1060036,BEVERAGES,1138,0,7.790186724
1062926,BEVERAGES,1122,0,8.618518387
1062927,BEVERAGES,1122,0,8.605913379
1066900,BEVERAGES,1136,0,10.51069418
1066901,BEVERAGES,1136,0,10.40294001
1071949,BEVERAGES,1120,0,5.130753785
1074327,BEVERAGES,1120,0,4.920321109
1084425,BEVERAGES,1136,0,3.103571113
1088002,BEVERAGES,1126,0,8.522954267
1101724,BEVERAGES,1132,0,5.661506567
1102970,BEVERAGES,1122,0,2.305690391
1102971,BEVERAGES,1122,0,9.315150265
1102975,BEVERAGES,1122,0,5.763663841
1102976,BEVERAGES,1122,0,9.292827189
1104725,BEVERAGES,1132,0,2.949125084
1109116,BEVERAGES,1120,0,5.290082736
1109325,BEVERAGES,1136,0,6.386757842
1109326,BEVERAGES,1136,0,7.995808286
1112450,BEVERAGES,1136,0,3.85287433
1114566,BEVERAGES,1124,0,3.318453775
1114567,BEVERAGES,1124,0,2.946231744
1114924,BEVERAGES,1132,0,3.7757923
1117661,BEVERAGES,1132,0,8.818192033
1117662,BEVERAGES,1132,0,7.75989853
1124164,BEVERAGES,1124,0,3.273518604
1124165,BEVERAGES,1124,0,8.949771782
1132005,BEVERAGES,1132,0,6.477937919
1134971,BEVERAGES,1132,0,8.254642406
1143685,BEVERAGES,1124,0,3.728345531
1143686,BEVERAGES,1124,0,10.26239618
1145597,BEVERAGES,1124,0,3.315125526
1148812,BEVERAGES,1120,0,7.427353645
1150954,BEVERAGES,1124,0,4.830529147
1153584,BEVERAGES,1122,0,8.46567614
1157479,BEVERAGES,1136,0,7.257614728
1161555,BEVERAGES,1132,0,5.667109749
1161556,BEVERAGES,1132,0,6.229374694
1161557,BEVERAGES,1132,0,9.353982651
1163577,BEVERAGES,1132,0,2.751216071
1164923,BEVERAGES,1132,0,10.14309729
1166474,BEVERAGES,1120,0,3.478004379
1166475,BEVERAGES,1120,0,4.90737813
1167544,BEVERAGES,1124,0,2.766584813
1167545,BEVERAGES,1124,0,6.021027504
1173213,BEVERAGES,1126,0,10.1826352
1182733,BEVERAGES,1120,0,10.93973701
1224521,BEVERAGES,1120,0,4.656384201
1228319,BEVERAGES,1136,0,9.503744187
1240160,BEVERAGES,1120,0,4.163262804
1243803,BEVERAGES,1120,0,3.913460086
1243805,BEVERAGES,1120,0,6.833507756
1243814,BEVERAGES,1122,0,3.629310336
1243815,BEVERAGES,1122,0,9.203249081
1243816,BEVERAGES,1122,0,6.887270922
1243817,BEVERAGES,1122,0,9.347127855
1255777,BEVERAGES,1124,0,7.30088039
1261025,BEVERAGES,1124,0,9.649919571
1281011,BEVERAGES,1124,0,8.251018303
1285150,BEVERAGES,1124,0,6.703484081
1285154,BEVERAGES,1124,0,3.39714151
1309297,BEVERAGES,1120,0,3.426179626
1309298,BEVERAGES,1122,0,8.348891385
1309300,BEVERAGES,1124,0,5.21250976
1324182,BEVERAGES,1132,0,5.038236687
1328495,BEVERAGES,1136,0,9.431920184
1336459,BEVERAGES,1124,0,3.531628625
1336461,BEVERAGES,1124,0,9.703591551
1350565,BEVERAGES,1136,0,2.167263183
1359503,BEVERAGES,1120,0,10.82477615
1393033,BEVERAGES,1122,0,6.105608007
1397060,BEVERAGES,1122,0,6.485553991
1397061,BEVERAGES,1122,0,10.87516474
1397062,BEVERAGES,1122,0,9.006754189
1404385,BEVERAGES,1124,0,1.690051876
1421156,BEVERAGES,1136,0,6.140383391
1421428,BEVERAGES,1124,0,3.342502966
1421429,BEVERAGES,1136,0,8.143399035
1428328,BEVERAGES,1120,0,8.120038489
1428330,BEVERAGES,1120,0,3.628648971
1428331,BEVERAGES,1120,0,4.141961247
1430040,BEVERAGES,1120,0,1.688299248
1430041,BEVERAGES,1120,0,7.698164524
1455482,BEVERAGES,1152,0,6.738175827
1455485,BEVERAGES,1152,0,8.656402839
1455886,BEVERAGES,1153,0,1.461094275
1458834,BEVERAGES,1122,0,3.772194723
1463441,BEVERAGES,1132,0,1.471465422
1463483,BEVERAGES,1116,0,10.75767424
1463484,BEVERAGES,1116,0,3.753305961
1463507,BEVERAGES,1118,0,5.948261576
1463509,BEVERAGES,1118,0,2.110030827
1463510,BEVERAGES,1118,0,7.010937759
1463555,BEVERAGES,1114,0,7.003531084
1463566,BEVERAGES,1190,0,7.368422373
1463568,BEVERAGES,1190,0,6.584416151
1463569,BEVERAGES,1190,0,6.393075857
1463587,BEVERAGES,1190,0,9.409893966
1463591,BEVERAGES,1190,0,3.615151053
1463594,BEVERAGES,1190,0,7.028582095
1463595,BEVERAGES,1190,0,8.573840333
1463596,BEVERAGES,1190,0,7.309128535
1463602,BEVERAGES,1190,0,4.794605118
1463603,BEVERAGES,1190,0,9.578276101
1463604,BEVERAGES,1190,0,10.72544186
1463609,BEVERAGES,1190,0,10.25601815
1463610,BEVERAGES,1190,0,2.854174946
1463611,BEVERAGES,1190,0,3.678144885
1463619,BEVERAGES,1114,0,10.23902004
1463620,BEVERAGES,1114,0,3.850222692
1463621,BEVERAGES,1114,0,6.816495485
1463625,BEVERAGES,1118,0,5.466138257
1463626,BEVERAGES,1118,0,5.539292229
1463632,BEVERAGES,1148,0,10.49567948
1463637,BEVERAGES,1148,0,3.707023767
1463693,BEVERAGES,1190,0,7.239127258
1463707,BEVERAGES,1116,0,9.56652169
1463765,BEVERAGES,1190,0,3.132793998
1463767,BEVERAGES,1114,0,2.438314655
1463769,BEVERAGES,1114,0,3.571601306
1463770,BEVERAGES,1114,0,8.238645174
1463771,BEVERAGES,1114,0,7.875350768
1463772,BEVERAGES,1114,0,2.830544866
1463773,BEVERAGES,1114,0,3.813086904
1463783,BEVERAGES,1114,0,8.848475962
1463784,BEVERAGES,1114,0,6.2138081
1463786,BEVERAGES,1116,0,7.1903362
1463787,BEVERAGES,1116,0,3.291431992
1463788,BEVERAGES,1116,0,7.616298237
1463789,BEVERAGES,1116,0,2.827712501
1463790,BEVERAGES,1116,0,6.032908316
1463791,BEVERAGES,1116,0,3.535801285
1463797,BEVERAGES,1118,0,9.237309827
1463798,BEVERAGES,1118,0,4.689107602
1463799,BEVERAGES,1118,0,2.853200708
1463800,BEVERAGES,1118,0,3.103060692
1463801,BEVERAGES,1118,0,2.320256972
1463805,BEVERAGES,1146,0,6.130356917
1463806,BEVERAGES,1146,0,9.959620622
1463807,BEVERAGES,1146,0,5.654221441
1463808,BEVERAGES,1146,0,7.006288631
1463810,BEVERAGES,1148,0,9.8044449
1463812,BEVERAGES,1148,0,4.237513449
1463814,BEVERAGES,1148,0,3.066715881
1463819,BEVERAGES,1148,0,6.953784334
1463820,BEVERAGES,1148,0,6.612347714
1463823,BEVERAGES,1148,0,5.363643998
1463825,BEVERAGES,1148,0,4.706477056
1463851,BEVERAGES,1118,0,5.140914601
1463852,BEVERAGES,1118,0,9.437009208
1463855,BEVERAGES,1148,0,1.861787092
1463857,BEVERAGES,1148,0,6.776675478
1463859,BEVERAGES,1148,0,6.92757494
1463860,BEVERAGES,1148,0,6.438331979
1463862,BEVERAGES,1148,0,2.824924428
1463864,BEVERAGES,1148,0,1.47073706
1463865,BEVERAGES,1148,0,1.993029608
1463866,BEVERAGES,1148,0,4.398712419
1463867,BEVERAGES,1148,0,8.369387419
1463881,BEVERAGES,1144,0,8.166731091
1463882,BEVERAGES,1144,0,10.98532009
1463883,BEVERAGES,1144,0,5.8383977
1463885,BEVERAGES,1144,0,7.23989634
1463886,BEVERAGES,1144,0,4.261586505
1463887,BEVERAGES,1144,0,4.536520565
1463888,BEVERAGES,1144,0,3.51523853
1463896,BEVERAGES,1144,0,6.176343
1463897,BEVERAGES,1144,0,3.569180148
1463898,BEVERAGES,1144,0,10.77588634
1463899,BEVERAGES,1144,0,2.822071854
1463900,BEVERAGES,1144,0,8.692085912
1463914,BEVERAGES,1114,0,5.753236272
1463934,BEVERAGES,1116,0,3.376324631
1463935,BEVERAGES,1116,0,9.590206316
1463936,BEVERAGES,1116,0,9.711301321
1463992,BEVERAGES,1144,0,7.248827378
1463993,BEVERAGES,1144,0,1.795483859
1463994,BEVERAGES,1144,0,3.949314433
1463995,BEVERAGES,1148,0,4.415391122
1463998,BEVERAGES,1148,0,6.135379225
1464002,BEVERAGES,1148,0,9.873144429
1464005,BEVERAGES,1148,0,1.766327596
1464008,BEVERAGES,1148,0,8.531747033
1464010,BEVERAGES,1148,0,7.822623687
1464025,BEVERAGES,1148,0,10.25559633
1464027,BEVERAGES,1148,0,7.516999489
1464028,BEVERAGES,1148,0,1.851289621
1464029,BEVERAGES,1148,0,7.839400784
1464031,BEVERAGES,1148,0,9.897501956
1464034,BEVERAGES,1148,0,10.57746446
1464035,BEVERAGES,1148,0,7.045040686
1464038,BEVERAGES,1148,0,8.623394188
1464039,BEVERAGES,1116,0,3.555008796
1464041,BEVERAGES,1144,0,9.316384143
1464042,BEVERAGES,1144,0,4.354282229
1464043,BEVERAGES,1144,0,3.028721927
1464045,BEVERAGES,1114,0,1.258867907
1464063,BEVERAGES,1190,0,8.476283136
1464065,BEVERAGES,1190,0,2.625487515
1464066,BEVERAGES,1190,0,5.938864206
1464070,BEVERAGES,1190,0,6.941609609
1464071,BEVERAGES,1190,0,4.174708642
1464072,BEVERAGES,1190,0,5.215385982
1464073,BEVERAGES,1190,0,7.499215159
1464074,BEVERAGES,1190,0,8.289650543
1464076,BEVERAGES,1190,0,8.293717135
1464077,BEVERAGES,1190,0,6.658034083
1464079,BEVERAGES,1190,0,5.283730656
1464081,BEVERAGES,1190,0,5.789721452
1464082,BEVERAGES,1190,0,9.887291334
1464086,BEVERAGES,1144,0,3.796512959
1464087,BEVERAGES,1144,0,1.210285282
1464088,BEVERAGES,1144,0,9.149935659
1464090,BEVERAGES,1144,0,3.783361194
1464091,BEVERAGES,1148,0,3.22170423
1464092,BEVERAGES,1148,0,2.819639233
1464093,BEVERAGES,1148,0,1.52855427
1464094,BEVERAGES,1148,0,3.648642289
1464095,BEVERAGES,1148,0,6.332010221
1464097,BEVERAGES,1148,0,1.929956326
1464099,BEVERAGES,1148,0,2.746916804
1464133,BEVERAGES,1146,0,9.97242493
1464134,BEVERAGES,1146,0,2.921639321
1464137,BEVERAGES,1190,0,3.290677958
1464153,BEVERAGES,1190,0,3.979524326
1464177,BEVERAGES,1190,0,10.30508524
1464186,BEVERAGES,1190,0,9.978037333
1464188,BEVERAGES,1190,0,3.868502443
1464192,BEVERAGES,1190,0,6.116543505
1464194,BEVERAGES,1190,0,10.43295446
1464196,BEVERAGES,1190,0,4.019068185
1464198,BEVERAGES,1190,0,4.852867588
1464201,BEVERAGES,1190,0,2.547454059
1464205,BEVERAGES,1190,0,9.9772377
1464207,BEVERAGES,1114,0,3.5397885
1464208,BEVERAGES,1114,0,6.501938981
1464209,BEVERAGES,1114,0,2.175911785
1464210,BEVERAGES,1114,0,7.738048674
1464217,BEVERAGES,1116,0,4.786047743
1464218,BEVERAGES,1116,0,10.17952468
1464237,BEVERAGES,1144,0,1.826769063
1464238,BEVERAGES,1144,0,7.755515227
1464239,BEVERAGES,1144,0,7.204450819
1464240,BEVERAGES,1144,0,5.613166323
1464241,BEVERAGES,1144,0,9.85687544
1464246,BEVERAGES,1148,0,5.564388455
1464256,BEVERAGES,1114,0,6.749721973
1464257,BEVERAGES,1114,0,10.09226977
1464258,BEVERAGES,1114,0,6.766069048
1464302,BEVERAGES,1115,0,5.440649892
1464309,BEVERAGES,1115,0,3.851732873
1464312,BEVERAGES,1114,0,8.79099536
1464607,BEVERAGES,1114,0,3.308497536
